Period	Document Number	Item	Transaction Bin Quantity	Transfer Type	Source Bin Number	Destination Bin Number
Apr 2024	BINT113174	VESCC110050210	6	Inbound Staging	QDCIN1	Q270136
Apr 2024	BINT113175	ODS-AGM8E	8	Inbound Staging	QDCIN1	Q230130
Apr 2024	BINT113177	ODX-AGM31	30	Inbound Staging	QDCIN1	Q230130
Apr 2024	BINT113179	RNW8651034	4	Inbound Staging	QDCIN1	Q170114
Apr 2024	BINT113180	RNW865DCBRK125	2	Inbound Staging	QDCIN1	Q270143
Apr 2024	BINT113183	RNW865684821	3	Inbound Staging	QDCIN1	Q270122
Apr 2024	BINT112976	31S-9	1440	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT113010	8D-6	32	Inbound Staging	QDCIN1	Q270108
Apr 2024	BINT113011	8D-6	32	Inbound Staging	QDCIN1	Q270107
Apr 2024	BINT113012	CP180-FP	144	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT113013	CP200M-36	40	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT113014	D12180	200	Inbound Staging	QDCIN1	Q250305
Apr 2024	BINT113015	SCRAPBOX	5	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT113016	8004-003	66	Inbound Staging	QDCIN1	Q230210
Apr 2024	BINT113018	D650	1260	Inbound Staging	QDCIN1	Q240227
Apr 2024	BINT113019	D1272	540	Inbound Staging	QDCIN1	Q240213
Apr 2024	BINT113020	EVGC6A-AM-VN	48	Inbound Staging	QDCIN1	Q250112
Apr 2024	BINT113021	EV24A-AM8	45	Inbound Staging	QDCIN1	Q250121
Apr 2024	BINT113028	24M-6	66	Inbound Staging	QDCIN1	Q190331
Apr 2024	BINT113029	59-6	60	Inbound Staging	QDCIN1	Q200250
Apr 2024	BINT113030	24DC	66	Inbound Staging	QDCIN1	Q190325
Apr 2024	BINT113031	78DT-7MF	66	Inbound Staging	QDCIN1	Q210313
Apr 2024	BINT113032	24DC	66	Inbound Staging	QDCIN1	Q200227
Apr 2024	BINT113033	78DT-7MF	66	Inbound Staging	QDCIN1	Q210216
Apr 2024	BINT113035	24M-8	66	Inbound Staging	QDCIN1	Q200231
Apr 2024	BINT113036	78-7MF	66	Inbound Staging	QDCIN1	Q210311
Apr 2024	BINT113055	26R-6MF	84	Inbound Staging	QDCIN1	Q200330
Apr 2024	BINT113056	26R-6MF	84	Inbound Staging	QDCIN1	Q200429
Apr 2024	BINT113057	24M-8	66	Inbound Staging	QDCIN1	Q190437
Apr 2024	BINT113058	24M-8	66	Inbound Staging	QDCIN1	Q190446
Apr 2024	BINT113060	124R-6	66	Inbound Staging	QDCIN1	Q190214
Apr 2024	BINT113061	78-7MF	66	Inbound Staging	QDCIN1	Q210207
Apr 2024	BINT113062	75DT-7MF	72	Inbound Staging	QDCIN1	Q210308
Apr 2024	BINT113063	27M-8	54	Inbound Staging	QDCIN1	Q190347
Apr 2024	BINT113064	121R-6	66	Inbound Staging	QDCIN1	Q200302
Apr 2024	BINT113068	8D1155-AB	16	Inbound Staging	QDCIN1	Q230301
Apr 2024	BINT113069	8D1155-AB	16	Inbound Staging	QDCIN1	Q230201
Apr 2024	BINT113070	8D1155-AB	16	Inbound Staging	QDCIN1	Q230204
Apr 2024	BINT113072	31T950-AB	54	Inbound Staging	QDCIN1	Q220340
Apr 2024	BINT113073	31T950-AB	54	Inbound Staging	QDCIN1	Q220341
Apr 2024	BINT113074	31T950-AB	54	Inbound Staging	QDCIN1	Q220337
Apr 2024	BINT113075	31T750-AB	54	Inbound Staging	QDCIN1	Q220236
Apr 2024	BINT113076	18V	12	Inbound Staging	QDCIN1	Q190137
Apr 2024	BINT113078	31T750-AB	54	Inbound Staging	QDCIN1	Q220237
Apr 2024	BINT112907	31S-9	720	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT112922	U1-4	195	Inbound Staging	QDCIN1	Q270222
Apr 2024	BINT112923	U1-4	195	Inbound Staging	QDCIN1	Q270321
Apr 2024	BINT112925	U1-4	195	Inbound Staging	QDCIN1	Q270221
Apr 2024	BINT112926	U1-4	195	Inbound Staging	QDCIN1	Q270319
Apr 2024	BINT112927	U1-4	195	Inbound Staging	QDCIN1	Q270318
Apr 2024	BINT112928	U1-4	195	Inbound Staging	QDCIN1	Q270304
Apr 2024	BINT112929	U1-4	195	Inbound Staging	QDCIN1	Q270301
Apr 2024	BINT112931	U1-4	195	Inbound Staging	QDCIN1	Q270201
Apr 2024	BINT112932	U1-4	195	Inbound Staging	QDCIN1	Q270407
Apr 2024	BINT112933	U1-4	195	Inbound Staging	QDCIN1	Q270406
Apr 2024	BINT112935	U1-4	195	Inbound Staging	QDCIN1	Q270405
Apr 2024	BINT112936	U1-4	195	Inbound Staging	QDCIN1	Q270404
Apr 2024	BINT112941	31S-9	60	Inbound Staging	QDCIN1	Q180327
Apr 2024	BINT112943	31S-9	60	Inbound Staging	QDCIN1	Q180426
Apr 2024	BINT112944	31S-9	60	Inbound Staging	QDCIN1	Q180326
Apr 2024	BINT112945	31S-9	60	Inbound Staging	QDCIN1	Q180425
Apr 2024	BINT112946	31S-9	60	Inbound Staging	QDCIN1	Q180325
Apr 2024	BINT112947	31S-9	60	Inbound Staging	QDCIN1	Q180424
Apr 2024	BINT112948	31S-9	60	Inbound Staging	QDCIN1	Q180324
Apr 2024	BINT112949	31S-9	60	Inbound Staging	QDCIN1	Q180423
Apr 2024	BINT112950	31S-9	60	Inbound Staging	QDCIN1	Q180323
Apr 2024	BINT112951	31S-9	60	Inbound Staging	QDCIN1	Q180320
Apr 2024	BINT112952	31S-9	60	Inbound Staging	QDCIN1	Q180321
Apr 2024	BINT112953	31S-9	60	Inbound Staging	QDCIN1	Q180322
Apr 2024	BINT112954	31S-9	60	Inbound Staging	QDCIN1	Q180419
Apr 2024	BINT112955	31S-9	60	Inbound Staging	QDCIN1	Q180420
Apr 2024	BINT112956	31S-9	60	Inbound Staging	QDCIN1	Q180421
Apr 2024	BINT112957	31S-9	60	Inbound Staging	QDCIN1	Q180422
Apr 2024	BINT112965	31S-9	480	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT112844	31S-9	720	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT112850	31S-9	720	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT112853	31S-9	60	Inbound Staging	QDCIN1	Q180427
Apr 2024	BINT112854	31S-9	60	Inbound Staging	QDCIN1	Q180428
Apr 2024	BINT112855	31S-9	60	Inbound Staging	QDCIN1	Q180429
Apr 2024	BINT112857	31S-9	60	Inbound Staging	QDCIN1	Q180328
Apr 2024	BINT112858	31S-9	60	Inbound Staging	QDCIN1	Q160201
Apr 2024	BINT112859	31S-9	60	Inbound Staging	QDCIN1	Q160202
Apr 2024	BINT112860	31S-9	60	Inbound Staging	QDCIN1	Q160203
Apr 2024	BINT112861	31S-9	300	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT112873	U1-4	195	Inbound Staging	QDCIN1	Q270312
Apr 2024	BINT112874	U1-4	195	Inbound Staging	QDCIN1	Q270212
Apr 2024	BINT112875	U1-4	195	Inbound Staging	QDCIN1	Q270311
Apr 2024	BINT112876	U1-4	195	Inbound Staging	QDCIN1	Q270211
Apr 2024	BINT112877	U1-4	195	Inbound Staging	QDCIN1	Q270310
Apr 2024	BINT112878	U1-4	195	Inbound Staging	QDCIN1	Q270210
Apr 2024	BINT112879	U1-5MF	195	Inbound Staging	QDCIN1	Q270208
Apr 2024	BINT112880	U1-5MF	195	Inbound Staging	QDCIN1	Q270207
Apr 2024	BINT112881	U1-5MF	195	Inbound Staging	QDCIN1	Q270204
Apr 2024	BINT112882	U1-5MF	195	Inbound Staging	QDCIN1	Q270203
Apr 2024	BINT112883	U1-5MF	195	Inbound Staging	QDCIN1	Q270302
Apr 2024	BINT112884	U1-5MF	195	Inbound Staging	QDCIN1	Q270202
Apr 2024	BINT112710	4DLT-4	17	Inbound Staging	QDCIN1	Q200242
Apr 2024	BINT112711	8D1155-AB	16	Inbound Staging	QDCIN1	Q230304
Apr 2024	BINT112712	8D1155-AB	8	Inbound Staging	QDCIN1	Q230203
Apr 2024	BINT112713	31A950-AB	54	Inbound Staging	QDCIN1	Q220331
Apr 2024	BINT112714	31A950-AB	54	Inbound Staging	QDCIN1	Q220335
Apr 2024	BINT112715	31T750-AB	54	Inbound Staging	QDCIN1	Q220336
Apr 2024	BINT112716	4DLT-4	30	Inbound Staging	QDCIN1	Q200342
Apr 2024	BINT112717	4D1000-AB	20	Inbound Staging	QDCIN1	Q220344
Apr 2024	BINT112718	4D1000-AB	20	Inbound Staging	QDCIN1	Q220343
Apr 2024	BINT112719	4D1000-AB	20	Inbound Staging	QDCIN1	Q220244
Apr 2024	BINT112736	31S-9	1440	Inbound Staging	QDCIN2	Quebec DC
Apr 2024	BINT112741	31T750-AB	54	Inbound Staging	QDCIN1	Q220339
Apr 2024	BINT112742	4DLT-4	30	Inbound Staging	QDCIN1	Q190243
Apr 2024	BINT112743	4DLT-4	30	Inbound Staging	QDCIN1	Q200332
Apr 2024	BINT112745	31T750-AB	54	Inbound Staging	QDCIN1	Q220338
Apr 2024	BINT112747	31A950-AB	54	Inbound Staging	QDCIN1	Q220329
Apr 2024	BINT112748	30H700-AB	54	Inbound Staging	QDCIN1	Q220229
Apr 2024	BINT112775	DB05MF	28	Inbound Staging	QDCIN1	Q230240
Apr 2024	BINT112776	DB05MF	28	Inbound Staging	QDCIN1	Q230241
Apr 2024	BINT112777	DB05MF	28	Inbound Staging	QDCIN1	Q230242
Apr 2024	BINT112778	DB05MF	28	Inbound Staging	QDCIN1	Q230243
Apr 2024	BINT112779	DB05MF	28	Inbound Staging	QDCIN1	Q230244
Apr 2024	BINT112780	DB05MF	28	Inbound Staging	QDCIN1	Q240244
Apr 2024	BINT112781	DB05MF	28	Inbound Staging	QDCIN1	Q240243
Apr 2024	BINT112782	DB05MF	28	Inbound Staging	QDCIN1	Q240242
Apr 2024	BINT112783	DB05MF	28	Inbound Staging	QDCIN1	Q240241
Apr 2024	BINT112784	DB05MF	28	Inbound Staging	QDCIN1	Q240240
Apr 2024	BINT112785	DB05MF	28	Inbound Staging	QDCIN1	Q240239
Apr 2024	BINT112557	31S-9	60	Inbound Staging	QDCIN1	Q180352
Apr 2024	BINT112558	31S-9	60	Inbound Staging	QDCIN1	Q180351
Apr 2024	BINT112559	31S-9	60	Inbound Staging	QDCIN1	Q180350
Apr 2024	BINT112560	31A-9	60	Inbound Staging	QDCIN1	Q260243
Apr 2024	BINT112561	31A-9	60	Inbound Staging	QDCIN1	Q260239
Apr 2024	BINT112562	31A-9	60	Inbound Staging	QDCIN1	Q260244
Apr 2024	BINT112563	31A-9	60	Inbound Staging	QDCIN1	Q260340
Apr 2024	BINT112564	31S-9	60	Inbound Staging	QDCIN2	Q180349
Apr 2024	BINT112565	31S-9	60	Inbound Staging	QDCIN2	Q180348
Apr 2024	BINT112566	31S-9	60	Inbound Staging	QDCIN2	Q180347
Apr 2024	BINT112567	31S-9	60	Inbound Staging	QDCIN2	Q180346
Apr 2024	BINT112568	31S-9	60	Inbound Staging	QDCIN2	Q180345
Apr 2024	BINT112569	31S-9	60	Inbound Staging	QDCIN2	Q180344
Apr 2024	BINT112570	31S-9	60	Inbound Staging	QDCIN2	Q180343
Apr 2024	BINT112571	31S-9	60	Inbound Staging	QDCIN2	Q180342
Apr 2024	BINT112572	31S-9	60	Inbound Staging	QDCIN2	Q180341
Apr 2024	BINT112573	31S-9	60	Inbound Staging	QDCIN2	Q180340
Apr 2024	BINT112574	31S-9	60	Inbound Staging	QDCIN2	Q180339
Apr 2024	BINT112575	31S-9	60	Inbound Staging	QDCIN2	Q180338
Apr 2024	BINT112577	31S-9	60	Inbound Staging	QDCIN2	Q180337
Apr 2024	BINT112578	31S-9	60	Inbound Staging	QDCIN2	Q180336
Apr 2024	BINT112579	31S-9	60	Inbound Staging	QDCIN2	Q180335
Apr 2024	BINT112580	31S-9	60	Inbound Staging	QDCIN2	Q180334
Apr 2024	BINT112581	31S-9	60	Inbound Staging	QDCIN2	Q180333
Apr 2024	BINT112583	31S-9	60	Inbound Staging	QDCIN2	Q180332
Apr 2024	BINT112584	31S-9	60	Inbound Staging	QDCIN2	Q180331
Apr 2024	BINT112585	31S-9	60	Inbound Staging	QDCIN2	Q180330
Apr 2024	BINT112586	31S-9	60	Inbound Staging	QDCIN2	Q180329
Apr 2024	BINT112587	31S-9	60	Inbound Staging	QDCIN2	Q180253
Apr 2024	BINT112589	31S-9	60	Inbound Staging	QDCIN2	Q180252
Apr 2024	BINT112590	31S-9	60	Inbound Staging	QDCIN2	Q180251
Apr 2024	BINT112592	PST-3000-12	1	Inbound Staging	QDCIN1	Quebec DC
Apr 2024	BINT112596	31S-9	60	Inbound Staging	QDCIN2	Q180250
Apr 2024	BINT112597	31S-9	60	Inbound Staging	QDCIN2	Q180249
Apr 2024	BINT112598	31S-9	60	Inbound Staging	QDCIN2	Q180248
Apr 2024	BINT112599	31S-9	60	Inbound Staging	QDCIN2	Q180247
Apr 2024	BINT112600	31S-9	60	Inbound Staging	QDCIN2	Q180246
Apr 2024	BINT112601	31S-9	60	Inbound Staging	QDCIN2	Q180245
Apr 2024	BINT112602	31S-9	60	Inbound Staging	QDCIN2	Q180244
Apr 2024	BINT112603	31S-9	60	Inbound Staging	QDCIN2	Q180243
Apr 2024	BINT112604	31S-9	60	Inbound Staging	QDCIN2	Q170243
Apr 2024	BINT112612	31S-9	60	Inbound Staging	QDCIN2	Q180242
Apr 2024	BINT112613	31S-9	60	Inbound Staging	QDCIN2	Q180241
Apr 2024	BINT112614	31S-9	60	Inbound Staging	QDCIN2	Q180240
Apr 2024	BINT112615	813-5000-UL	6	Inbound Staging	QDCIN2	Q170139
Apr 2024	BINT112616	806-1206	12	Inbound Staging	QDCIN2	Q170131
Apr 2024	BINT112617	806-1210	3	Inbound Staging	QDCIN2	Q170136
Apr 2024	BINT112618	817-1050	2	Inbound Staging	QDCIN2	Q170148
Apr 2024	BINT112620	8040-218	2	Inbound Staging	QDCIN1	Q230120
Apr 2024	BINT112621	D12180D	16	Inbound Staging	QDCIN1	Q250107
Apr 2024	BINT112622	8051-160	5	Inbound Staging	QDCIN1	Q230117
Apr 2024	BINT112623	N100-4	10	Inbound Staging	QDCIN1	Q210152
Apr 2024	BINT112624	31S-9	60	Inbound Staging	QDCIN2	Q180239
Apr 2024	BINT112625	31S-9	60	Inbound Staging	QDCIN2	Q180238
Apr 2024	BINT112626	31S-9	60	Inbound Staging	QDCIN2	Q180237
Apr 2024	BINT112627	817-2000	11	Inbound Staging	QDCIN2	Q170238
Apr 2024	BINT112628	817-2000	1	Inbound Staging	QDCIN2	Q170238
Apr 2024	BINT112629	31S-9	60	Inbound Staging	QDCIN2	Q180236
Apr 2024	BINT112630	NS40LSP	8	Inbound Staging	QDCIN1	Q210147
Apr 2024	BINT112631	4891R-6MF	6	Inbound Staging	QDCIN1	Q200141
Apr 2024	BINT112632	31S-9	60	Inbound Staging	QDCIN2	Q180235
Apr 2024	BINT112633	31S-9	60	Inbound Staging	QDCIN2	Q170227
Apr 2024	BINT112634	31S-9	60	Inbound Staging	QDCIN2	Q170228
Apr 2024	BINT112635	31S-9	60	Inbound Staging	QDCIN2	Q170230
Apr 2024	BINT112636	31S-9	60	Inbound Staging	QDCIN2	Q170234
Apr 2024	BINT112637	31S-9	60	Inbound Staging	QDCIN2	Q170231
Apr 2024	BINT112638	31S-9	60	Inbound Staging	QDCIN2	Q180232
Apr 2024	BINT112639	31S-9	60	Inbound Staging	QDCIN2	Q170223
Apr 2024	BINT112640	31S-9	60	Inbound Staging	QDCIN2	Q180222
Apr 2024	BINT112641	EV512A-210FT	4	Inbound Staging	QDCIN1	Q240135
Apr 2024	BINT112642	31S-9	60	Inbound Staging	QDCIN2	Q180221
Apr 2024	BINT112643	31S-9	60	Inbound Staging	QDCIN2	Q180220
Apr 2024	BINT112644	D650	260	Inbound Staging	QDCIN1	Q240127
Apr 2024	BINT112645	31S-9	60	Inbound Staging	QDCIN2	Q170216
Apr 2024	BINT112646	31S-9	60	Inbound Staging	QDCIN2	Q170209
Apr 2024	BINT112647	D12750D	3	Inbound Staging	QDCIN1	Q240117
Apr 2024	BINT112648	31S-9	60	Inbound Staging	QDCIN2	Q160210
Apr 2024	BINT112649	D12450	12	Inbound Staging	QDCIN1	Q240107
